priority,family,dataset_name,title_en,issued,metadata_modified,formats,resource_count,first_resource_url,catalog_url
P2,grid_infrastructure,elektrische-anlagen-mit-einer-nennspannung-von-uber-36-kv,Electrical installations with a nominal voltage exceeding 36kV,2021-03-31T00:00:00,2026-05-22T00:54:52.158700,"HTML,OCTET,XML",8,https://geodienste.ch/downloads/elektrische_anlagen_ueber_36kv?data_format=gpkg,https://opendata.swiss/en/dataset/elektrische-anlagen-mit-einer-nennspannung-von-uber-36-kv
P2,grid_infrastructure,sachplan-ubertragungsleitungen-sul,Electricity Transmission Lines sectoral plan,2014-01-01T00:00:00,2026-05-11T08:50:34.732393,"HTML,OCTET,XML",5,https://data.geo.admin.ch/ch.bfe.sachplan-uebertragungsleitungen_kraft/sachplan-uebertragungsleitungen_kraft/sachplan-uebertragungsleitungen_kraft_2056.gpkg,https://opendata.swiss/en/dataset/sachplan-ubertragungsleitungen-sul
P2,grid_infrastructure,sachplan-ubertragungsleitungen-sul-anhorungen,Electricity Transmission Lines sectoral plan - consultations,2012-11-13T00:00:00,2026-05-11T08:51:03.953590,"HTML,XML",3,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,https://opendata.swiss/en/dataset/sachplan-ubertragungsleitungen-sul-anhorungen
P3,other,abgeltung-von-einbussen-der-wasserkraftnutzung-vaew,Compensation for losses due to the use of hydraulic power (CLHPO),2011-07-01T00:00:00,2026-05-22T00:49:54.682606,"HTML,OCTET,XML",5,https://data.geo.admin.ch/ch.bfe.abgeltung-wasserkraftnutzung/abgeltung-wasserkraftnutzung/abgeltung-wasserkraftnutzung_2056.gpkg,https://opendata.swiss/en/dataset/abgeltung-von-einbussen-der-wasserkraftnutzung-vaew
P3,other,analyse-des-schweizerischen-energieverbrauchs-nach-verwendungszwecken,,2017-12-12T00:00:00,2025-03-18T10:49:12.897545,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=380,https://opendata.swiss/en/dataset/analyse-des-schweizerischen-energieverbrauchs-nach-verwendungszwecken
P3,other,angebote-der-innovationsforderung-im-energiebereich-fur-schweizer-firmen-und-forschungsinstitute,,2017-12-12T00:00:00,2025-03-18T10:49:20.267265,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=381,https://opendata.swiss/en/dataset/angebote-der-innovationsforderung-im-energiebereich-fur-schweizer-firmen-und-forschungsinstitute
P3,other,baulinien-starkstromanlagen-v2-0-oereb,Baulinien Starkstromanlagen V2.0 OeREB,2021-10-14T00:00:00,2026-05-11T08:49:48.262462,"OCTET,XML",2,https://data.geo.admin.ch/ch.bfe.baulinien-starkstromanlagen_v2_0.oereb/data.zip,https://opendata.swiss/en/dataset/baulinien-starkstromanlagen-v2-0-oereb
P3,other,beliebteste-plug-in-lnf-modelle-phev,,,2026-05-10T03:59:56.268013,CSV,1,https://www.bfe-ogd.ch/ogd93_data-models-phev_lnf.csv,https://opendata.swiss/en/dataset/beliebteste-plug-in-lnf-modelle-phev
P3,other,beliebteste-plug-in-pw-modelle-phev,,,2026-05-10T04:00:00.406990,CSV,1,https://www.bfe-ogd.ch/ogd92_data-models-phev.csv,https://opendata.swiss/en/dataset/beliebteste-plug-in-pw-modelle-phev
P3,other,beliebteste-vollelektrische-lnf-modelle-bev,,,2026-05-10T03:59:27.256322,CSV,1,https://www.bfe-ogd.ch/ogd93_data-models-bev_lnf.csv,https://opendata.swiss/en/dataset/beliebteste-vollelektrische-lnf-modelle-bev
P3,other,beliebteste-vollelektrische-pw-modelle-bev,,,2026-05-10T03:59:25.262942,CSV,1,https://www.bfe-ogd.ch/ogd92_data-models-bev.csv,https://opendata.swiss/en/dataset/beliebteste-vollelektrische-pw-modelle-bev
P3,other,berater-fur-pinch-analysen,,2025-12-02T00:00:00,2026-03-22T06:27:11.135346,CSV,1,https://www.bfe-ogd.ch/ogd130_berater_pinch_analysen.csv,https://opendata.swiss/en/dataset/berater-fur-pinch-analysen
P3,other,beteiligung-des-bfe-an-internationalen-energieforschungsprogrammen,,2017-12-12T00:00:00,2025-03-18T10:49:15.109133,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=382,https://opendata.swiss/en/dataset/beteiligung-des-bfe-an-internationalen-energieforschungsprogrammen
P3,other,cleantech-pilot-demonstrations-und-leuchtturmprojekte,Current pilot and demonstration projects of the Swiss Federal Office of Energy,2015-05-20T00:00:00,2026-05-22T00:49:47.234671,"HTML,OCTET,XML",7,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,https://opendata.swiss/en/dataset/cleantech-pilot-demonstrations-und-leuchtturmprojekte
P3,other,durchschnittliche-co2-emissionen-nach-treibstoffart,,,2026-05-22T05:29:17.626965,CSV,1,https://www.bfe-ogd.ch/ogd92_data-ch.csv,https://opendata.swiss/en/dataset/durchschnittliche-co2-emissionen-nach-treibstoffart
P3,other,energieforschungsstatistik-efstat,,2017-12-12T00:00:00,2025-12-11T04:00:52.171922,"CSV,SERVICE,SPARQL",6,https://pubdb.bfe.admin.ch/de/suche?keywords=385,https://opendata.swiss/en/dataset/energieforschungsstatistik-efstat
P3,other,energieverbrauch-in-der-industrie-und-im-dienstleistungssektor,,2017-12-12T00:00:00,2025-03-18T10:49:13.830758,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=386,https://opendata.swiss/en/dataset/energieverbrauch-in-der-industrie-und-im-dienstleistungssektor
P3,other,erdbebengefahrdung-fur-die-schweiz-gemass-sagesser-mayer-rosa-1978-msk-intensitat-1964-fur-eine,,1978-02-16T00:00:00,2025-12-11T04:00:45.340365,GPKG,1,https://www.uvek-gis.admin.ch/BFE/ogd/114/ogd114_EarthquakeHazard1978.gpkg,https://opendata.swiss/en/dataset/erdbebengefahrdung-fur-die-schweiz-gemass-sagesser-mayer-rosa-1978-msk-intensitat-1964-fur-eine
P3,other,ex-post-analyse-des-energieverbrauchs-der-schweizerischen-haushalte-nach-bestimmungsfaktoren-und-ver,,2017-12-12T00:00:00,2025-03-18T10:49:14.740916,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=387,https://opendata.swiss/en/dataset/ex-post-analyse-des-energieverbrauchs-der-schweizerischen-haushalte-nach-bestimmungsfaktoren-und-ver
P3,other,ex-post-analyse-des-schweizerischen-energieverbrauchs-nach-bestimmungsfaktoren,,2017-12-12T00:00:00,2025-03-18T10:49:14.174646,SERVICE,1,https://pubdb.bfe.admin.ch/de/suche?keywords=388,https://opendata.swiss/en/dataset/ex-post-analyse-des-schweizerischen-energieverbrauchs-nach-bestimmungsfaktoren
P3,other,kennzahlen-alternativ-angetriebene-lnf,,,2026-05-10T03:59:11.944269,CSV,1,https://www.bfe-ogd.ch/ogd93_data-cantons_lnf.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-lnf
P3,other,kennzahlen-alternativ-angetriebene-lnf-anteil-allradfahrzeuge,,,2026-05-10T03:59:18.108007,CSV,1,https://www.bfe-ogd.ch/ogd95_data_t2_lnf.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-lnf-anteil-allradfahrzeuge
P3,other,kennzahlen-alternativ-angetriebene-lnf-anteil-elektrofahrzeuge,,,2026-05-10T03:59:06.116296,CSV,1,https://www.bfe-ogd.ch/ogd95_data_t6_lnf.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-lnf-anteil-elektrofahrzeuge
P3,other,kennzahlen-alternativ-angetriebene-lnf-anzahl-neuer-lnf,,,2026-05-10T03:59:54.411542,CSV,1,https://www.bfe-ogd.ch/ogd95_data_t1_lnf.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-lnf-anzahl-neuer-lnf
P3,other,kennzahlen-alternativ-angetriebene-lnf-durchschnittliche-co2-emissionen,,,2026-05-10T03:59:16.137289,CSV,1,https://www.bfe-ogd.ch/ogd95_data_t4_lnf.csv,https://opendata.swiss/en/dataset/kennzahlen-alternativ-angetriebene-lnf-durchschnittliche-co2-emissionen
