date,hour,price_lear,price_p10,price_p90,n_windows,mlp_used,fm_used,fm_raw_price,timestamp,days_ahead
2026-03-29,6,141.295004024182,134.8082587406742,174.2726371422325,5,True,True,140.4940185546875,2026-03-29 04:00:00+00:00,2
2026-03-29,7,136.7758702100149,114.9568702777702,135.86889466562104,5,True,True,136.1458740234375,2026-03-29 05:00:00+00:00,2
2026-03-29,8,133.41094008372252,116.19355949543183,147.50176161685874,5,True,True,129.8734130859375,2026-03-29 06:00:00+00:00,2
2026-03-29,9,129.38611552822496,106.87718397676647,139.62738203300952,5,True,True,117.7868423461914,2026-03-29 07:00:00+00:00,2
2026-03-29,10,116.08190398621727,91.19734632842234,138.57814433000308,5,True,True,101.77934265136719,2026-03-29 08:00:00+00:00,2
2026-03-29,11,98.8452595388234,93.49052674970261,137.34096177860613,5,True,True,90.19290161132812,2026-03-29 09:00:00+00:00,2
2026-03-29,12,85.27823804117253,54.93860480999236,127.92627199533428,5,True,True,88.33820343017578,2026-03-29 10:00:00+00:00,2
2026-03-29,13,88.83986028930977,77.8137363201975,121.92290366408491,5,True,True,97.62469482421875,2026-03-29 11:00:00+00:00,2
2026-03-29,14,90.34974735235784,62.02007522966216,141.09847757035305,5,True,True,115.25468444824219,2026-03-29 12:00:00+00:00,2
2026-03-29,15,122.83583308569084,100.54711729957307,137.4102337458006,5,True,True,132.26022338867188,2026-03-29 13:00:00+00:00,2
2026-03-29,16,138.15430512602765,116.18650199261887,142.73412274520857,5,True,True,144.6816864013672,2026-03-29 14:00:00+00:00,2
2026-03-29,17,150.25705475845706,128.97531033591292,206.33229919871906,5,True,True,149.59178161621094,2026-03-29 15:00:00+00:00,2
2026-03-29,18,148.72814266164414,128.93989040672312,166.64581706627206,5,True,True,149.08584594726562,2026-03-29 16:00:00+00:00,2
2026-03-29,19,150.4263178598269,136.16081161199727,190.38773522388666,5,True,True,146.14755249023438,2026-03-29 17:00:00+00:00,2
2026-03-29,20,139.09526811395713,129.47224528584087,149.45738153778115,5,True,True,142.428466796875,2026-03-29 18:00:00+00:00,2
2026-03-29,21,136.84102581078284,117.5259769547001,142.20721074193463,5,True,True,138.3006591796875,2026-03-29 19:00:00+00:00,2
